business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
TON KIANG RESTAURANT #2	5821 GEARY Blvd	San Francisco	CA	94121	37.780144	-122.481939		3591_20150522	2017-05-22		Foodborne Illness Investigation			
PHO HUYNH HIEP II	1833 IRVING St	San Francisco	CA	94122	37.763503	-122.477748		3211_20170912	2017-09-12	85.0	Routine - Unscheduled	3211_20170912_103154	Unclean or degraded floors walls or ceilings	Low Risk
Golden State Market	4448 Mission St	San Francisco	CA	94112				83605_20151117	2017-11-17	98.0	Routine - Unscheduled	83605_20151117_103143	Inadequate warewashing facilities or equipment	Low Risk
Happy Donut	6 06th St	San Francisco	CA	94103				77772_20171213	2017-12-13		Complaint			
La Torta Gorda	2833 24th St	San Francisco	CA	94110	37.752813	-122.408799		32170_20171017	2017-10-17	88.0	Routine - Unscheduled	32170_20171017_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Westfield Food Court Scullery	845 Market St Scullery (LL)	San Francisco	CA	94103	37.784679	-122.407061	+14155516776	28206_20160720	2017-07-20	72.0	Routine - Unscheduled	28206_20160720_103129	Insufficient hot water or running water	Moderate Risk
DJ Sushi, Inc.	450 Broadway St	San Francisco	CA	94133				85796_20171107	2017-11-07	87.0	Routine - Unscheduled	85796_20171107_103103	High risk food holding temperature	High Risk
Fog Harbor Fish House	Pier 39  Space A202	San Francisco	CA	94133	37.80824	-122.410189		3437_20171204	2017-12-04		Reinspection/Followup			
Buttermilk Southern Kitchen	2848 23rd St	San Francisco	CA	94110				79632_20170303	2017-03-03	85.0	Routine - Unscheduled	79632_20170303_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
TAQUERIA EL FAROLITO NO. 2	4817 MISSION St	San Francisco	CA	94112	37.721251	-122.437385		827_20180125	2017-01-25	85.0	Routine - Unscheduled	827_20180125_103142	Unclean nonfood contact surfaces	Low Risk
India Clay Oven Restaurant and Bar	2436 Clement St	San Francisco	CA	94121			+14155750505	85955_20160705	2017-07-05	81.0	Routine - Unscheduled	85955_20160705_103103	High risk food holding temperature	High Risk
Live Sushi Bistro	1 Gilbert St	San Francisco	CA	94103	37.774759	-122.404133		62632_20180124	2017-01-24		Reinspection/Followup			
Harrison Shell	1201 Harrison St	San Francisco	CA	94103	37.773568	-122.408712		62785_20171221	2017-12-21	84.0	Routine - Unscheduled	62785_20171221_103132	Improper thawing methods	Moderate Risk
Manila Oriental Market	4175 MISSION St	San Francisco	CA	94112	37.730569	-122.429418		20367_20160613	2017-06-13	78.0	Routine - Unscheduled	20367_20160613_103161	Low risk vermin infestation	Low Risk
Rosamunde Sausage Grill	2832 MISSION St	San Francisco	CA	94110	37.751587	-122.418444	+14155307170	61736_20170713	2017-07-13	86.0	Routine - Unscheduled	61736_20170713_103131	Moderate risk vermin infestation	Moderate Risk
Bei Fang Style	2218 Irving St	San Francisco	CA	94122			+14155207160	83588_20161209	2017-12-09	86.0	Routine - Unscheduled	83588_20161209_103120	Moderate risk food holding temperature	Moderate Risk
